interval,n_points,realized_vol,skewness,kurtosis
5s,1697,0.011130556380418561,0.5323859980424398,7.869297737951509
20s,457,0.009912882851334228,0.008706778921900154,1.6107921824001923
5min,32,0.011412890975152867,-0.16936392481333024,0.5521024864869268
15min,11,0.009429715891535132,-0.11699755786652699,-0.09400123452697517
30min,6,0.005331520012024108,-0.4414959609544699,-2.7858799064311652
